StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1 Single choice,Q2 Multiple choice_1,Q2 Multiple choice_2,Q2 Multiple choice_3,Q2 Multiple choice_4,Q2 Multiple choice_5,Q2 Multiple choice_6,Q3 Dropdown list,Q4 Certified,Q5 Random choice,Q6 Text entry,Q7 Multi line text,Q8 Form field_1,Q8 Form field_2,Q8 Form field_3,Q8 Form field_4,Q9 Rank order_1,Q9 Rank order_2,Q9 Rank order_3,Q9 Rank order_4,Q9 Rank order_5,Q10 Matrix table_1,Q10 Matrix table_2,Q10 Matrix table_3,Q11 Slider_1,Q11 Slider_2,Q11 Slider_3,Q12 Side by side#1_1,Q12 Side by side#1_2,Q12 Side by side#1_3,Q12 Side by side#1_4,Q12 Side by side#1_5,Q12 Side by side#1_6,Q12 Side by side#1_7,Q12 Side by side#1_8,Q12 Side by side#2_1,Q12 Side by side#2_2,Q12 Side by side#2_3,Q12 Side by side#2_4,Q12 Side by side#2_5,Q12 Side by side#2_6,Q12 Side by side#2_7,Q12 Side by side#2_8,Q13 End of survey
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Did you find this explanation useful?,Why did you choose to take the question tour? - To learn about different question types and how to use them,Why did you choose to take the question tour? - To see best practices in survey construction and design,Why did you choose to take the question tour? - To explore the different features and functionality of the survey editor tool,Why did you choose to take the question tour? - To practice building and editing a survey without starting from scratch,Why did you choose to take the question tour? - To see if Qualtrics provides the features I need to build the survey I have planned,"Why did you choose to take the question tour? - None of the above (this answer is ""exclusive"" which means you can't choose it with any other option - it can be set using the response menu that becomes available when you click into the answer to make edits)",The question tour has helped me learn how to configure my own questions in Qualtrics.,How old are you?,Which type of multiple-choice question is easiest to use?,What kind of survey template would be most helpful in building a new survey for your needs?,Please provide your feedback on the content included in the question tour.,Name and contact information - First name,Name and contact information - Last name,Name and contact information - Email address,Name and contact information - Phone number (U.S.),Please rank the following question types in order of usefulness. - Single-answer multiple choice questions,Please rank the following question types in order of usefulness. - Multiple-answer multiple choice questions,Please rank the following question types in order of usefulness. - Single-line text entry questions,Please rank the following question types in order of usefulness. - Essay box text entry questions,Please rank the following question types in order of usefulness. - Rank order questions,Please rate the following in terms of how much you agree or disagree with each statement. - I can build the kind of questions necessary to collect the feedback I need using Qualtrics,Please rate the following in terms of how much you agree or disagree with each statement. - Qualtrics provides a flexible survey tool that can be configured to meet my needs,Please rate the following in terms of how much you agree or disagree with each statement. - I can use a variety of question types to accomplish my research goals,Please rate the question tour according to the following attributes. - Length,Please rate the question tour according to the following attributes. - Level of detail,Please rate the question tour according to the following attributes. - Range of content,How would you rate each of the following question types? - Ease of use - Multiple choice,How would you rate each of the following question types? - Ease of use - Text entry,How would you rate each of the following question types? - Ease of use - Text / Graphic,How would you rate each of the following question types? - Ease of use - Matrix table,How would you rate each of the following question types? - Ease of use - Slider,How would you rate each of the following question types? - Ease of use - Form field,How would you rate each of the following question types? - Ease of use - Rank order,How would you rate each of the following question types? - Ease of use - Side by side,How would you rate each of the following question types? - Do you plan to use this question type in your survey? - Multiple choice,How would you rate each of the following question types? - Do you plan to use this question type in your survey? - Text entry,How would you rate each of the following question types? - Do you plan to use this question type in your survey? - Text / Graphic,How would you rate each of the following question types? - Do you plan to use this question type in your survey? - Matrix table,How would you rate each of the following question types? - Do you plan to use this question type in your survey? - Slider,How would you rate each of the following question types? - Do you plan to use this question type in your survey? - Form field,How would you rate each of the following question types? - Do you plan to use this question type in your survey? - Rank order,How would you rate each of the following question types? - Do you plan to use this question type in your survey? - Side by side,End of survey summary
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5"",""choiceId"":""1""}","{""ImportId"":""QID5"",""choiceId"":""2""}","{""ImportId"":""QID5"",""choiceId"":""3""}","{""ImportId"":""QID5"",""choiceId"":""4""}","{""ImportId"":""QID5"",""choiceId"":""5""}","{""ImportId"":""QID5"",""choiceId"":""6""}","{""ImportId"":""QID6""}","{""ImportId"":""QID16""}","{""ImportId"":""QID7""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID13#1_1""}","{""ImportId"":""QID13#1_2""}","{""ImportId"":""QID13#1_3""}","{""ImportId"":""QID13#1_4""}","{""ImportId"":""QID13#1_5""}","{""ImportId"":""QID13#1_6""}","{""ImportId"":""QID13#1_7""}","{""ImportId"":""QID13#1_8""}","{""ImportId"":""QID13#2_1""}","{""ImportId"":""QID13#2_2""}","{""ImportId"":""QID13#2_3""}","{""ImportId"":""QID13#2_4""}","{""ImportId"":""QID13#2_5""}","{""ImportId"":""QID13#2_6""}","{""ImportId"":""QID13#2_7""}","{""ImportId"":""QID13#2_8""}","{""ImportId"":""QID18""}"
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,84,True,2024-01-21 01:37:24,R_07F4QiGAgudB3GS,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,To explore the different features and functionality of the survey editor tool,,To see if Qualtrics provides the features I need to build the survey I have planned,,Strongly agree,55-64 years old,Single-answer multiple choice questions,,,Wayne,Ross,Wayne.Ross@fakeemail.com,521-231-1500,1,2,5,4,3,Strongly agree,Strongly agree,Strongly agree,5,5,5,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,112,True,2024-01-21 01:37:24,R_0oKgKIRCjSrn5Cm,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,To explore the different features and functionality of the survey editor tool,,To see if Qualtrics provides the features I need to build the survey I have planned,,Somewhat agree,35-44 years old,Single-answer multiple choice questions,healthcare,I thought this would have more information on how to use Qualtrics instead of just showing me questions I can easily build myself or see in any template that is already built. It would be more useful to demonstrate how to use advanced features and spend less time focusing on basics that are easy for anybody to learn by doing.,Robert,Williams,Robert.Williams@fakeemail.com,521-231-2500,2,3,4,5,1,Somewhat agree,Somewhat agree,Strongly agree,4,4,3,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,99,True,2024-01-21 01:37:24,R_2rVJszl5QQXpWaq,,,,,,,preview,EN,Neither useful nor not useful,To learn about different question types and how to use them,To see best practices in survey construction and design,To explore the different features and functionality of the survey editor tool,,To see if Qualtrics provides the features I need to build the survey I have planned,,Neither agree nor disagree,65+ years old,Multiple-answer multiple choice questions,You already have the templates I need!,This is a good starting point but it would be great if there was more content on methodology! I like the different examples and notes about improving the survey-takers' experiences,Judith,Peterson,Judith.Peterson@fakeemail.com,521-231-7700,1,2,3,4,5,Somewhat agree,Neither agree nor disagree,Somewhat agree,3,4,3,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,123,True,2024-01-21 01:37:24,R_3HIq5UEnwg8TaES,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,To explore the different features and functionality of the survey editor tool,,,,Strongly agree,35-44 years old,Single-answer multiple choice questions,,,Eric,Wright,Eric.Wright@fakeemail.com,521-231-5400,2,3,5,4,1,Strongly agree,Strongly agree,Strongly agree,5,5,5,Very easy,Very easy,Very easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Very easy,Neither easy nor difficult,Yes,Yes,Yes,Yes,No,Not sure,Yes,Yes,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,120,True,2024-01-21 01:37:24,R_3I7GkdZfeYy8QOa,,,,,,,preview,EN,Neither useful nor not useful,,,,,,"None of the above (this answer is ""exclusive"" which means you can't choose it with any other option - it can be set using the response menu that becomes available when you click into the answer to make edits)",Neither agree nor disagree,55-64 years old,Single-answer multiple choice questions,,,Hannah,Kelly,Hannah.Kelly@fakeemail.com,521-231-7500,1,2,5,4,3,Somewhat agree,Somewhat disagree,Neither agree nor disagree,3,3,1,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Yes,Yes,Yes,Yes,No,Yes,Yes,Need more information,No
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,89,True,2024-01-21 01:37:24,R_3l4IJE1mD4Q0EKi,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,To explore the different features and functionality of the survey editor tool,,To see if Qualtrics provides the features I need to build the survey I have planned,,Strongly agree,45-54 years old,Single-answer multiple choice questions,csat,the content is pretty good but I wish there was more information on complex configurations,Alice,Wood,Alice.Wood@fakeemail.com,521-231-5600,2,3,4,1,5,Strongly agree,Strongly agree,Somewhat agree,5,4,5,Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,Very easy,Somewhat easy,Yes,Not sure,Yes,Yes,Yes,No,Yes,Need more information,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,93,True,2024-01-21 01:37:24,R_57KVKagvu2wgMOW,,,,,,,preview,EN,Useful,,To see best practices in survey construction and design,,,,,Somewhat agree,25-34 years old,Select box multiple choice questions,,I would like to learn more about different research types and what questions work best for those populations,Katherine,Hill,Katherine.Hill@fakeemail.com,521-231-7500,1,2,3,4,5,Strongly agree,Somewhat agree,Somewhat agree,4,4,4,Somewhat easy,Neither easy nor difficult,Very easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Somewhat easy,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,119,True,2024-01-21 01:37:24,R_6WirOjrtq9pdD2S,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,,,To see if Qualtrics provides the features I need to build the survey I have planned,,Somewhat agree,18-24 years old,Single-answer multiple choice questions,product feedback,more content on the more advanced and complex question types - there is a lot of really useful information about basic questions (multiple choice) and less detail about complex questions types (side-by-side) and it would be helpful to understand when those would be best used and how to set them up in the tool.,Julie,Stewart,Julie.Stewart@fakeemail.com,521-231-8500,1,2,4,5,3,Strongly agree,Strongly agree,Somewhat agree,4,4,4,Very easy,Very easy,Very easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Very easy,Somewhat difficult,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
